Year,Geo,AveVehPerDriver
2024,Accomack County,1.270874052
2045,Accomack County,1.096693345
2024,Albemarle County,1.191922417
2045,Albemarle County,1.028562492
2024,Alexandria City,0.618039462
2045,Alexandria City,0.533333546
2024,Alleghany County,1.39449324
2045,Alleghany County,1.203369801
2024,Amelia County,1.222882955
2045,Amelia County,1.055279707
2024,Amherst County,1.239258478
2045,Amherst County,1.06941087
2024,Appomattox County,1.191402605
2045,Appomattox County,1.028113923
2024,Arlington County,0.861532452
2045,Arlington County,0.7434544
2024,Augusta County,1.201741547
2045,Augusta County,1.037035853
2024,Bath County,1.105352828
2045,Bath County,0.95385777
2024,Bedford County,1.214042248
2045,Bedford County,1.047650671
2024,Bland County,0.982135438
2045,Bland County,0.847528043
2024,Botetourt County,1.159002982
2045,Botetourt County,1.000154858
2024,Bristol City,0.892902732
2045,Bristol City,0.7705252
2024,Brunswick County,1.298445024
2045,Brunswick County,1.120485554
2024,Buchanan County,0.983313818
2045,Buchanan County,0.848544919
2024,Buckingham County,1.360091435
2045,Buckingham County,1.173682964
2024,Buena Vista City,1.152748065
2045,Buena Vista City,0.994757213
2024,Campbell County,1.297079999
2045,Campbell County,1.119307613
2024,Caroline County,1.171374072
2045,Caroline County,1.010830417
2024,Carroll County,1.224298978
2045,Carroll County,1.056501656
2024,Charles City County,1.327562103
2045,Charles City County,1.145611967
2024,Charlotte County,1.128438242
2045,Charlotte County,0.973779193
2024,Charlottesville City,0.776606475
2045,Charlottesville City,0.670168024
2024,Chesapeake City,1.055000085
2045,Chesapeake City,0.910406165
2024,Chesterfield County,1.039476815
2045,Chesterfield County,0.89701045
2024,Clarke County,1.206249436
2045,Clarke County,1.040925909
2024,Colonial Heights City,1.043573768
2045,Colonial Heights City,0.900545891
2024,Covington City,1.002076976
2045,Covington City,0.864736477
2024,Craig County,1.236227394
2045,Craig County,1.066795213
2024,Culpeper County,1.191291218
2045,Culpeper County,1.028017802
2024,Cumberland County,1.318626785
2045,Cumberland County,1.137901287
2024,Danville City,1.023018407
2045,Danville City,0.882807762
2024,Dickenson County,1.15678433
2045,Dickenson County,0.998240285
2024,Dinwiddie County,1.244921245
2045,Dinwiddie County,1.074297521
2024,Emporia City,0.924328834
2045,Emporia City,0.797644172
2024,Essex County,1.095764543
2045,Essex County,0.945583616
2024,Fairfax City,0.472084043
2045,Fairfax City,0.407382169
2024,Fairfax County,0.997116932
2045,Fairfax County,0.860456236
2024,Falls Church City,0.268516644
2045,Falls Church City,0.23171487
2024,Fauquier County,1.115723989
2045,Fauquier County,0.962807503
2024,Floyd County,1.208133469
2045,Floyd County,1.042551724
2024,Fluvanna County,1.016239745
2045,Fluvanna County,0.876958156
2024,Franklin City,0.928420743
2045,Franklin City,0.801175261
2024,Franklin County,1.24281002
2045,Franklin County,1.072475652
2024,Frederick County,1.119361487
2045,Frederick County,0.965946461
2024,Fredericksburg City,0.387608886
2045,Fredericksburg City,0.334484825
2024,Galax City,0.839430812
2045,Galax City,0.724381919
2024,Giles County,1.243762749
2045,Giles County,1.073297804
2024,Gloucester County,1.121777721
2045,Gloucester County,0.968031536
2024,Goochland County,1.097972264
2045,Goochland County,0.947488756
2024,Grayson County,1.262427726
2045,Grayson County,1.089404637
2024,Greene County,1.152378669
2045,Greene County,0.994438445
2024,Greensville County,1.227488249
2045,Greensville County,1.059253819
2024,Halifax County,1.366674301
2045,Halifax County,1.17936361
2024,Hampton City,1.113887245
2045,Hampton City,0.961222496
2024,Hanover County,1.100125206
2045,Hanover County,0.949346625
2024,Harrisonburg City,1.283386251
2045,Harrisonburg City,1.107490673
2024,Henrico County,1.078661934
2045,Henrico County,0.930825019
2024,Henry County,1.16534782
2045,Henry County,1.005630098
2024,Highland County,1.161688585
2045,Highland County,1.002472383
2024,Hopewell City,1.083954153
2045,Hopewell City,0.935391909
2024,Isle of Wight County,1.341315024
2045,Isle of Wight County,1.15747997
2024,James City County,1.286751424
2045,James City County,1.11039463
2024,King and Queen County,1.177956753
2045,King and Queen County,1.016510903
2024,King George County,1.09012794
2045,King George County,0.940719542
2024,King William County,1.294769796
2045,King William County,1.117314037
2024,Lancaster County,1.253573598
2045,Lancaster County,1.081764019
2024,Lee County,1.171258863
2045,Lee County,1.010730998
2024,Lexington City,0.807827038
2045,Lexington City,0.697109627
2024,Loudoun County,0.911158819
2045,Loudoun County,0.786279184
2024,Louisa County,1.213787223
2045,Louisa County,1.047430598
2024,Lunenburg County,1.293764372
2045,Lunenburg County,1.116446412
2024,Lynchburg City,0.905712948
2045,Lynchburg City,0.781579702
2024,Madison County,1.15020744
2045,Madison County,0.992564796
2024,Manassas City,0.571837396
2045,Manassas City,0.493463742
2024,Manassas Park City,0.937101331
2045,Manassas Park City,0.808666123
2024,Martinsville City,0.764455102
2045,Martinsville City,0.659682068
2024,Mathews County,1.131771076
2045,Mathews County,0.976655243
2024,Mecklenburg County,1.27031326
2045,Mecklenburg County,1.096209412
2024,Middlesex County,1.188118292
2045,Middlesex County,1.025279744
2024,Montgomery County,1.876293384
2045,Montgomery County,1.619136423
2024,Nelson County,1.115111991
2045,Nelson County,0.962279383
2024,New Kent County,1.126272433
2045,New Kent County,0.971910221
2024,Newport News City,1.083672991
2045,Newport News City,0.935149281
2024,Norfolk City,1.147731942
2045,Norfolk City,0.990428579
2024,Northampton County,1.211535121
2045,Northampton County,1.04548716
2024,Northumberland County,1.078548542
2045,Northumberland County,0.930727168
2024,Norton City,0.877446691
2045,Norton City,0.7571875
2024,Nottoway County,1.330827129
2045,Nottoway County,1.148429502
2024,Orange County,1.148241654
2045,Orange County,0.990868432
2024,Page County,1.300721772
2045,Page County,1.12245026
2024,Patrick County,1.339596978
2045,Patrick County,1.155997392
2024,Petersburg City,0.940375241
2045,Petersburg City,0.811491325
2024,Pittsylvania County,1.296819737
2045,Pittsylvania County,1.119083022
2024,Poquoson City,1.086377755
2045,Poquoson City,0.937483342
2024,Portsmouth City,1.058370762
2045,Portsmouth City,0.913314871
2024,Powhatan County,1.044107805
2045,Powhatan County,0.901006736
2024,Prince Edward County,1.245780721
2045,Prince Edward County,1.075039201
2024,Prince George County,1.229595161
2045,Prince George County,1.061071967
2024,Prince William County,0.9962257
2045,Prince William County,0.859687152
2024,Pulaski County,1.478589434
2045,Pulaski County,1.27594012
2024,Radford City,1.132040975
2045,Radford City,0.976888151
2024,Rappahannock County,0.988424792
2045,Rappahannock County,0.852955404
2024,Richmond City,0.915115503
2045,Richmond City,0.789693581
2024,Richmond County,0.987751012
2045,Richmond County,0.85237397
2024,Roanoke City,0.988648364
2045,Roanoke City,0.853148335
2024,Roanoke County,1.134379544
2045,Roanoke County,0.978906205
2024,Rockbridge County,1.313373634
2045,Rockbridge County,1.133368111
2024,Rockingham County,1.233103911
2045,Rockingham County,1.064099822
2024,Russell County,1.091044569
2045,Russell County,0.941510542
2024,Salem City,0.917564693
2045,Salem City,0.791807096
2024,Scott County,1.207854588
2045,Scott County,1.042311066
2024,Shenandoah County,1.306195652
2045,Shenandoah County,1.127173913
2024,Smyth County,1.318897395
2045,Smyth County,1.138134808
2024,Southampton County,1.39883435
2045,Southampton County,1.207115937
2024,Spotsylvania County,1.281952964
2045,Spotsylvania County,1.106253827
2024,Stafford County,1.086220563
2045,Stafford County,0.937347694
2024,Staunton City,0.951867245
2045,Staunton City,0.821408282
2024,Suffolk City,1.085402195
2045,Suffolk City,0.936641488
2024,Surry County,1.203227786
2045,Surry County,1.038318394
2024,Sussex County,1.28353103
2045,Sussex County,1.107615609
2024,Tazewell County,1.188812047
2045,Tazewell County,1.025878416
2024,Virginia Beach City,1.054601838
2045,Virginia Beach City,0.9100625
2024,Warren County,1.362760425
2045,Warren County,1.175986154
2024,Washington County,1.289627514
2045,Washington County,1.112876535
2024,Waynesboro City,0.91315229
2045,Waynesboro City,0.787999438
2024,Westmoreland County,1.305923948
2045,Westmoreland County,1.126939447
2024,Williamsburg City,0.278498925
2045,Williamsburg City,0.240329021
2024,Winchester City,0.73058552
2045,Winchester City,0.63045451
2024,Wise County,1.140710554
2045,Wise County,0.984369514
2024,Wythe County,1.379389658
2045,Wythe County,1.190336253
2024,York County,1.210825788
2045,York County,1.044875045
