Geo,Year,VehOwnFlatRateFee.2024,VehOwnAdValoremTax
Accomack County,2024,32.56,0.052
Accomack County,2045,32.56,0.052
Albemarle County,2024,32.56,0.052
Albemarle County,2045,32.56,0.052
Alexandria City,2024,36.55,0.069
Alexandria City,2045,36.55,0.069
Alleghany County,2024,32.56,0.052
Alleghany County,2045,32.56,0.052
Amelia County,2024,32.56,0.052
Amelia County,2045,32.56,0.052
Amherst County,2024,32.56,0.052
Amherst County,2045,32.56,0.052
Appomattox County,2024,32.56,0.052
Appomattox County,2045,32.56,0.052
Arlington County,2024,36.55,0.052
Arlington County,2045,36.55,0.052
Augusta County,2024,32.56,0.052
Augusta County,2045,32.56,0.052
Bath County,2024,32.56,0.052
Bath County,2045,32.56,0.052
Bedford County,2024,32.56,0.052
Bedford County,2045,32.56,0.052
Bland County,2024,32.56,0.052
Bland County,2045,32.56,0.052
Botetourt County,2024,32.56,0.052
Botetourt County,2045,32.56,0.052
Bristol City,2024,32.56,0.052
Bristol City,2045,32.56,0.052
Brunswick County,2024,32.56,0.052
Brunswick County,2045,32.56,0.052
Buchanan County,2024,32.56,0.052
Buchanan County,2045,32.56,0.052
Buckingham County,2024,32.56,0.052
Buckingham County,2045,32.56,0.052
Buena Vista City,2024,32.56,0.052
Buena Vista City,2045,32.56,0.052
Campbell County,2024,32.56,0.052
Campbell County,2045,32.56,0.052
Caroline County,2024,32.56,0.052
Caroline County,2045,32.56,0.052
Carroll County,2024,32.56,0.052
Carroll County,2045,32.56,0.052
Charles City County,2024,32.56,0.052
Charles City County,2045,32.56,0.052
Charlotte County,2024,32.56,0.052
Charlotte County,2045,32.56,0.052
Charlottesville City,2024,32.56,0.052
Charlottesville City,2045,32.56,0.052
Chesapeake City,2024,32.56,0.052
Chesapeake City,2045,32.56,0.052
Chesterfield County,2024,32.56,0.052
Chesterfield County,2045,32.56,0.052
Clarke County,2024,32.56,0.052
Clarke County,2045,32.56,0.052
Colonial Heights City,2024,32.56,0.052
Colonial Heights City,2045,32.56,0.052
Covington City,2024,32.56,0.052
Covington City,2045,32.56,0.052
Craig County,2024,32.56,0.052
Craig County,2045,32.56,0.052
Culpeper County,2024,32.56,0.052
Culpeper County,2045,32.56,0.052
Cumberland County,2024,32.56,0.052
Cumberland County,2045,32.56,0.052
Danville City,2024,32.56,0.052
Danville City,2045,32.56,0.052
Dickenson County,2024,32.56,0.052
Dickenson County,2045,32.56,0.052
Dinwiddie County,2024,32.56,0.06
Dinwiddie County,2045,32.56,0.06
Emporia City,2024,32.56,0.052
Emporia City,2045,32.56,0.052
Essex County,2024,32.56,0.052
Essex County,2045,32.56,0.052
Fairfax City,2024,36.55,0.052
Fairfax City,2045,36.55,0.052
Fairfax County,2024,36.55,0.059
Fairfax County,2045,36.55,0.059
Falls Church City,2024,36.55,0.052
Falls Church City,2045,36.55,0.052
Fauquier County,2024,32.56,0.052
Fauquier County,2045,32.56,0.052
Floyd County,2024,32.56,0.052
Floyd County,2045,32.56,0.052
Fluvanna County,2024,32.56,0.052
Fluvanna County,2045,32.56,0.052
Franklin City,2024,32.56,0.052
Franklin City,2045,32.56,0.052
Franklin County,2024,32.56,0.052
Franklin County,2045,32.56,0.052
Frederick County,2024,32.56,0.052
Frederick County,2045,32.56,0.052
Fredericksburg City,2024,32.56,0.052
Fredericksburg City,2045,32.56,0.052
Galax City,2024,32.56,0.052
Galax City,2045,32.56,0.052
Giles County,2024,32.56,0.052
Giles County,2045,32.56,0.052
Gloucester County,2024,32.56,0.052
Gloucester County,2045,32.56,0.052
Goochland County,2024,32.56,0.052
Goochland County,2045,32.56,0.052
Grayson County,2024,32.56,0.052
Grayson County,2045,32.56,0.052
Greene County,2024,32.56,0.052
Greene County,2045,32.56,0.052
Greensville County,2024,32.56,0.052
Greensville County,2045,32.56,0.052
Halifax County,2024,32.56,0.052
Halifax County,2045,32.56,0.052
Hampton City,2024,32.56,0.052
Hampton City,2045,32.56,0.052
Hanover County,2024,32.56,0.052
Hanover County,2045,32.56,0.052
Harrisonburg City,2024,32.56,0.052
Harrisonburg City,2045,32.56,0.052
Henrico County,2024,32.56,0.052
Henrico County,2045,32.56,0.052
Henry County,2024,32.56,0.052
Henry County,2045,32.56,0.052
Highland County,2024,32.56,0.052
Highland County,2045,32.56,0.052
Hopewell City,2024,32.56,0.052
Hopewell City,2045,32.56,0.052
Isle of Wight County,2024,32.56,0.052
Isle of Wight County,2045,32.56,0.052
James City County,2024,32.56,0.052
James City County,2045,32.56,0.052
King George County,2024,32.56,0.052
King George County,2045,32.56,0.052
King William County,2024,32.56,0.052
King William County,2045,32.56,0.052
King and Queen County,2024,32.56,0.052
King and Queen County,2045,32.56,0.052
Lancaster County,2024,32.56,0.052
Lancaster County,2045,32.56,0.052
Lee County,2024,32.56,0.052
Lee County,2045,32.56,0.052
Lexington City,2024,32.56,0.052
Lexington City,2045,32.56,0.052
Loudoun County,2024,36.55,0.054
Loudoun County,2045,36.55,0.054
Louisa County,2024,32.56,0.052
Louisa County,2045,32.56,0.052
Lunenburg County,2024,32.56,0.052
Lunenburg County,2045,32.56,0.052
Lynchburg City,2024,32.56,0.052
Lynchburg City,2045,32.56,0.052
Madison County,2024,32.56,0.052
Madison County,2045,32.56,0.052
Manassas City,2024,36.55,0.052
Manassas City,2045,36.55,0.052
Manassas Park City,2024,36.55,0.052
Manassas Park City,2045,36.55,0.052
Martinsville City,2024,32.56,0.052
Martinsville City,2045,32.56,0.052
Mathews County,2024,32.56,0.052
Mathews County,2045,32.56,0.052
Mecklenburg County,2024,32.56,0.052
Mecklenburg County,2045,32.56,0.052
Middlesex County,2024,32.56,0.052
Middlesex County,2045,32.56,0.052
Montgomery County,2024,32.56,0.052
Montgomery County,2045,32.56,0.052
Nelson County,2024,32.56,0.052
Nelson County,2045,32.56,0.052
New Kent County,2024,32.56,0.04
New Kent County,2045,32.56,0.04
Newport News City,2024,32.56,0.052
Newport News City,2045,32.56,0.052
Norfolk City,2024,32.56,0.052
Norfolk City,2045,32.56,0.052
Northampton County,2024,32.56,0.052
Northampton County,2045,32.56,0.052
Northumberland County,2024,32.56,0.052
Northumberland County,2045,32.56,0.052
Norton City,2024,32.56,0.052
Norton City,2045,32.56,0.052
Nottoway County,2024,32.56,0.052
Nottoway County,2045,32.56,0.052
Orange County,2024,32.56,0.052
Orange County,2045,32.56,0.052
Page County,2024,32.56,0.052
Page County,2045,32.56,0.052
Patrick County,2024,32.56,0.052
Patrick County,2045,32.56,0.052
Petersburg City,2024,32.56,0.052
Petersburg City,2045,32.56,0.052
Pittsylvania County,2024,32.56,0.052
Pittsylvania County,2045,32.56,0.052
Poquoson City,2024,32.56,0.052
Poquoson City,2045,32.56,0.052
Portsmouth City,2024,32.56,0.052
Portsmouth City,2045,32.56,0.052
Powhatan County,2024,32.56,0.052
Powhatan County,2045,32.56,0.052
Prince Edward County,2024,32.56,0.052
Prince Edward County,2045,32.56,0.052
Prince George County,2024,32.56,0.052
Prince George County,2045,32.56,0.052
Prince William County,2024,36.55,0.052
Prince William County,2045,36.55,0.052
Pulaski County,2024,32.56,0.052
Pulaski County,2045,32.56,0.052
Radford City,2024,32.56,0.052
Radford City,2045,32.56,0.052
Rappahannock County,2024,32.56,0.052
Rappahannock County,2045,32.56,0.052
Richmond City,2024,32.56,0.048
Richmond City,2045,32.56,0.048
Richmond County,2024,32.56,0.052
Richmond County,2045,32.56,0.052
Roanoke City,2024,32.56,0.052
Roanoke City,2045,32.56,0.052
Roanoke County,2024,32.56,0.052
Roanoke County,2045,32.56,0.052
Rockbridge County,2024,32.56,0.052
Rockbridge County,2045,32.56,0.052
Rockingham County,2024,32.56,0.052
Rockingham County,2045,32.56,0.052
Russell County,2024,32.56,0.052
Russell County,2045,32.56,0.052
Salem City,2024,32.56,0.052
Salem City,2045,32.56,0.052
Scott County,2024,32.56,0.052
Scott County,2045,32.56,0.052
Shenandoah County,2024,32.56,0.052
Shenandoah County,2045,32.56,0.052
Smyth County,2024,32.56,0.052
Smyth County,2045,32.56,0.052
Southampton County,2024,32.56,0.052
Southampton County,2045,32.56,0.052
Spotsylvania County,2024,32.56,0.052
Spotsylvania County,2045,32.56,0.052
Stafford County,2024,36.55,0.052
Stafford County,2045,36.55,0.052
Staunton City,2024,32.56,0.052
Staunton City,2045,32.56,0.052
Suffolk City,2024,32.56,0.052
Suffolk City,2045,32.56,0.052
Surry County,2024,32.56,0.052
Surry County,2045,32.56,0.052
Sussex County,2024,32.56,0.052
Sussex County,2045,32.56,0.052
Tazewell County,2024,32.56,0.052
Tazewell County,2045,32.56,0.052
Virginia Beach City,2024,32.56,0.052
Virginia Beach City,2045,32.56,0.052
Warren County,2024,32.56,0.052
Warren County,2045,32.56,0.052
Washington County,2024,32.56,0.052
Washington County,2045,32.56,0.052
Waynesboro City,2024,32.56,0.052
Waynesboro City,2045,32.56,0.052
Westmoreland County,2024,32.56,0.052
Westmoreland County,2045,32.56,0.052
Williamsburg City,2024,32.56,0.052
Williamsburg City,2045,32.56,0.052
Winchester City,2024,32.56,0.052
Winchester City,2045,32.56,0.052
Wise County,2024,32.56,0.052
Wise County,2045,32.56,0.052
Wythe County,2024,32.56,0.052
Wythe County,2045,32.56,0.052
York County,2024,32.56,0.052
York County,2045,32.56,0.052
