Geo,Year,VanPropIcev,VanPropHev,VanPropBev,BusPropIcev,BusPropHev,BusPropBev,RailPropIcev,RailPropHev,RailPropEv
Accomack County,2024,1,0,0,1,0,0,NA,NA,NA
Accomack County,2045,1,0,0,1,0,0,NA,NA,NA
Albemarle County,2024,1,0,0,1,0,0,NA,NA,NA
Albemarle County,2045,1,0,0,1,0,0,NA,NA,NA
Alexandria City,2024,1,0,0,0.380952381,0.619047619,0,1,0,0
Alexandria City,2045,1,0,0,0.380952381,0.619047619,0,1,0,0
Alleghany County,2024,1,0,0,1,0,0,NA,NA,NA
Alleghany County,2045,1,0,0,1,0,0,NA,NA,NA
Amelia County,2024,1,0,0,1,0,0,NA,NA,NA
Amelia County,2045,1,0,0,1,0,0,NA,NA,NA
Amherst County,2024,1,0,0,1,0,0,NA,NA,NA
Amherst County,2045,1,0,0,1,0,0,NA,NA,NA
Appomattox County,2024,1,0,0,1,0,0,NA,NA,NA
Appomattox County,2045,1,0,0,1,0,0,NA,NA,NA
Arlington County,2024,0.93220339,0.06779661,0,1,0,0,NA,NA,NA
Arlington County,2045,0.93220339,0.06779661,0,1,0,0,NA,NA,NA
Augusta County,2024,1,0,0,1,0,0,NA,NA,NA
Augusta County,2045,1,0,0,1,0,0,NA,NA,NA
Bath County,2024,1,0,0,1,0,0,NA,NA,NA
Bath County,2045,1,0,0,1,0,0,NA,NA,NA
Bedford County,2024,1,0,0,1,0,0,NA,NA,NA
Bedford County,2045,1,0,0,1,0,0,NA,NA,NA
Bland County,2024,1,0,0,1,0,0,NA,NA,NA
Bland County,2045,1,0,0,1,0,0,NA,NA,NA
Botetourt County,2024,1,0,0,1,0,0,NA,NA,NA
Botetourt County,2045,1,0,0,1,0,0,NA,NA,NA
Bristol City,2024,1,0,0,1,0,0,NA,NA,NA
Bristol City,2045,1,0,0,1,0,0,NA,NA,NA
Brunswick County,2024,1,0,0,1,0,0,NA,NA,NA
Brunswick County,2045,1,0,0,1,0,0,NA,NA,NA
Buchanan County,2024,1,0,0,1,0,0,NA,NA,NA
Buchanan County,2045,1,0,0,1,0,0,NA,NA,NA
Buckingham County,2024,1,0,0,1,0,0,NA,NA,NA
Buckingham County,2045,1,0,0,1,0,0,NA,NA,NA
Buena Vista City,2024,1,0,0,1,0,0,NA,NA,NA
Buena Vista City,2045,1,0,0,1,0,0,NA,NA,NA
Campbell County,2024,1,0,0,1,0,0,NA,NA,NA
Campbell County,2045,1,0,0,1,0,0,NA,NA,NA
Caroline County,2024,1,0,0,1,0,0,NA,NA,NA
Caroline County,2045,1,0,0,1,0,0,NA,NA,NA
Carroll County,2024,1,0,0,1,0,0,NA,NA,NA
Carroll County,2045,1,0,0,1,0,0,NA,NA,NA
Charles City County,2024,1,0,0,1,0,0,NA,NA,NA
Charles City County,2045,1,0,0,1,0,0,NA,NA,NA
Charlotte County,2024,1,0,0,1,0,0,NA,NA,NA
Charlotte County,2045,1,0,0,1,0,0,NA,NA,NA
Charlottesville City,2024,1,0,0,0.696969697,0.303030303,0,NA,NA,NA
Charlottesville City,2045,1,0,0,0.696969697,0.303030303,0,NA,NA,NA
Chesapeake City,2024,1,0,0,1,0,0,NA,NA,NA
Chesapeake City,2045,1,0,0,1,0,0,NA,NA,NA
Chesterfield County,2024,1,0,0,1,0,0,NA,NA,NA
Chesterfield County,2045,1,0,0,1,0,0,NA,NA,NA
Clarke County,2024,1,0,0,1,0,0,NA,NA,NA
Clarke County,2045,1,0,0,1,0,0,NA,NA,NA
Colonial Heights City,2024,1,0,0,1,0,0,NA,NA,NA
Colonial Heights City,2045,1,0,0,1,0,0,NA,NA,NA
Covington City,2024,1,0,0,1,0,0,NA,NA,NA
Covington City,2045,1,0,0,1,0,0,NA,NA,NA
Craig County,2024,1,0,0,1,0,0,NA,NA,NA
Craig County,2045,1,0,0,1,0,0,NA,NA,NA
Culpeper County,2024,1,0,0,1,0,0,NA,NA,NA
Culpeper County,2045,1,0,0,1,0,0,NA,NA,NA
Cumberland County,2024,1,0,0,1,0,0,NA,NA,NA
Cumberland County,2045,1,0,0,1,0,0,NA,NA,NA
Danville City,2024,1,0,0,1,0,0,NA,NA,NA
Danville City,2045,1,0,0,1,0,0,NA,NA,NA
Dickenson County,2024,1,0,0,1,0,0,NA,NA,NA
Dickenson County,2045,1,0,0,1,0,0,NA,NA,NA
Dinwiddie County,2024,1,0,0,1,0,0,NA,NA,NA
Dinwiddie County,2045,1,0,0,1,0,0,NA,NA,NA
Emporia City,2024,1,0,0,1,0,0,NA,NA,NA
Emporia City,2045,1,0,0,1,0,0,NA,NA,NA
Essex County,2024,1,0,0,1,0,0,NA,NA,NA
Essex County,2045,1,0,0,1,0,0,NA,NA,NA
Fairfax City,2024,1,0,0,0.969945355,0.030054645,0,NA,NA,NA
Fairfax City,2045,1,0,0,0.969945355,0.030054645,0,NA,NA,NA
Fairfax County,2024,1,0,0,1,0,0,NA,NA,NA
Fairfax County,2045,1,0,0,1,0,0,NA,NA,NA
Falls Church City,2024,1,0,0,1,0,0,NA,NA,NA
Falls Church City,2045,1,0,0,1,0,0,NA,NA,NA
Fauquier County,2024,1,0,0,1,0,0,NA,NA,NA
Fauquier County,2045,1,0,0,1,0,0,NA,NA,NA
Floyd County,2024,1,0,0,1,0,0,NA,NA,NA
Floyd County,2045,1,0,0,1,0,0,NA,NA,NA
Fluvanna County,2024,1,0,0,1,0,0,NA,NA,NA
Fluvanna County,2045,1,0,0,1,0,0,NA,NA,NA
Franklin City,2024,1,0,0,1,0,0,NA,NA,NA
Franklin City,2045,1,0,0,1,0,0,NA,NA,NA
Franklin County,2024,1,0,0,1,0,0,NA,NA,NA
Franklin County,2045,1,0,0,1,0,0,NA,NA,NA
Frederick County,2024,1,0,0,1,0,0,NA,NA,NA
Frederick County,2045,1,0,0,1,0,0,NA,NA,NA
Fredericksburg City,2024,1,0,0,1,0,0,NA,NA,NA
Fredericksburg City,2045,1,0,0,1,0,0,NA,NA,NA
Galax City,2024,1,0,0,1,0,0,NA,NA,NA
Galax City,2045,1,0,0,1,0,0,NA,NA,NA
Giles County,2024,1,0,0,1,0,0,NA,NA,NA
Giles County,2045,1,0,0,1,0,0,NA,NA,NA
Gloucester County,2024,1,0,0,1,0,0,NA,NA,NA
Gloucester County,2045,1,0,0,1,0,0,NA,NA,NA
Goochland County,2024,1,0,0,1,0,0,NA,NA,NA
Goochland County,2045,1,0,0,1,0,0,NA,NA,NA
Grayson County,2024,1,0,0,1,0,0,NA,NA,NA
Grayson County,2045,1,0,0,1,0,0,NA,NA,NA
Greene County,2024,1,0,0,1,0,0,NA,NA,NA
Greene County,2045,1,0,0,1,0,0,NA,NA,NA
Greensville County,2024,1,0,0,1,0,0,NA,NA,NA
Greensville County,2045,1,0,0,1,0,0,NA,NA,NA
Halifax County,2024,1,0,0,1,0,0,NA,NA,NA
Halifax County,2045,1,0,0,1,0,0,NA,NA,NA
Hampton City,2024,1,0,0,0.988721805,0.011278195,0,NA,NA,NA
Hampton City,2045,1,0,0,0.988721805,0.011278195,0,NA,NA,NA
Hanover County,2024,1,0,0,1,0,0,NA,NA,NA
Hanover County,2045,1,0,0,1,0,0,NA,NA,NA
Harrisonburg City,2024,1,0,0,1,0,0,NA,NA,NA
Harrisonburg City,2045,1,0,0,1,0,0,NA,NA,NA
Henrico County,2024,1,0,0,1,0,0,NA,NA,NA
Henrico County,2045,1,0,0,1,0,0,NA,NA,NA
Henry County,2024,1,0,0,1,0,0,NA,NA,NA
Henry County,2045,1,0,0,1,0,0,NA,NA,NA
Highland County,2024,1,0,0,1,0,0,NA,NA,NA
Highland County,2045,1,0,0,1,0,0,NA,NA,NA
Hopewell City,2024,1,0,0,1,0,0,NA,NA,NA
Hopewell City,2045,1,0,0,1,0,0,NA,NA,NA
Isle of Wight County,2024,1,0,0,1,0,0,NA,NA,NA
Isle of Wight County,2045,1,0,0,1,0,0,NA,NA,NA
James City County,2024,1,0,0,1,0,0,NA,NA,NA
James City County,2045,1,0,0,1,0,0,NA,NA,NA
King and Queen County,2024,1,0,0,1,0,0,NA,NA,NA
King and Queen County,2045,1,0,0,1,0,0,NA,NA,NA
King George County,2024,1,0,0,1,0,0,NA,NA,NA
King George County,2045,1,0,0,1,0,0,NA,NA,NA
King William County,2024,1,0,0,1,0,0,NA,NA,NA
King William County,2045,1,0,0,1,0,0,NA,NA,NA
Lancaster County,2024,1,0,0,1,0,0,NA,NA,NA
Lancaster County,2045,1,0,0,1,0,0,NA,NA,NA
Lee County,2024,1,0,0,1,0,0,NA,NA,NA
Lee County,2045,1,0,0,1,0,0,NA,NA,NA
Lexington City,2024,1,0,0,1,0,0,NA,NA,NA
Lexington City,2045,1,0,0,1,0,0,NA,NA,NA
Loudoun County,2024,1,0,0,1,0,0,NA,NA,NA
Loudoun County,2045,1,0,0,1,0,0,NA,NA,NA
Louisa County,2024,1,0,0,1,0,0,NA,NA,NA
Louisa County,2045,1,0,0,1,0,0,NA,NA,NA
Lunenburg County,2024,1,0,0,1,0,0,NA,NA,NA
Lunenburg County,2045,1,0,0,1,0,0,NA,NA,NA
Lynchburg City,2024,1,0,0,0.7,0.3,0,NA,NA,NA
Lynchburg City,2045,1,0,0,0.7,0.3,0,NA,NA,NA
Madison County,2024,1,0,0,1,0,0,NA,NA,NA
Madison County,2045,1,0,0,1,0,0,NA,NA,NA
Manassas City,2024,1,0,0,1,0,0,NA,NA,NA
Manassas City,2045,1,0,0,1,0,0,NA,NA,NA
Manassas Park City,2024,1,0,0,1,0,0,NA,NA,NA
Manassas Park City,2045,1,0,0,1,0,0,NA,NA,NA
Martinsville City,2024,1,0,0,1,0,0,NA,NA,NA
Martinsville City,2045,1,0,0,1,0,0,NA,NA,NA
Mathews County,2024,1,0,0,1,0,0,NA,NA,NA
Mathews County,2045,1,0,0,1,0,0,NA,NA,NA
Mecklenburg County,2024,1,0,0,1,0,0,NA,NA,NA
Mecklenburg County,2045,1,0,0,1,0,0,NA,NA,NA
Middlesex County,2024,1,0,0,1,0,0,NA,NA,NA
Middlesex County,2045,1,0,0,1,0,0,NA,NA,NA
Montgomery County,2024,1,0,0,0.885714286,0.114285714,0,NA,NA,NA
Montgomery County,2045,1,0,0,0.885714286,0.114285714,0,NA,NA,NA
Nelson County,2024,1,0,0,1,0,0,NA,NA,NA
Nelson County,2045,1,0,0,1,0,0,NA,NA,NA
New Kent County,2024,1,0,0,1,0,0,NA,NA,NA
New Kent County,2045,1,0,0,1,0,0,NA,NA,NA
Newport News City,2024,1,0,0,1,0,0,NA,NA,NA
Newport News City,2045,1,0,0,1,0,0,NA,NA,NA
Norfolk City,2024,1,0,0,1,0,0,NA,NA,NA
Norfolk City,2045,1,0,0,1,0,0,NA,NA,NA
Northampton County,2024,1,0,0,1,0,0,NA,NA,NA
Northampton County,2045,1,0,0,1,0,0,NA,NA,NA
Northumberland County,2024,1,0,0,1,0,0,NA,NA,NA
Northumberland County,2045,1,0,0,1,0,0,NA,NA,NA
Norton City,2024,1,0,0,1,0,0,NA,NA,NA
Norton City,2045,1,0,0,1,0,0,NA,NA,NA
Nottoway County,2024,1,0,0,1,0,0,NA,NA,NA
Nottoway County,2045,1,0,0,1,0,0,NA,NA,NA
Orange County,2024,1,0,0,1,0,0,NA,NA,NA
Orange County,2045,1,0,0,1,0,0,NA,NA,NA
Page County,2024,1,0,0,1,0,0,NA,NA,NA
Page County,2045,1,0,0,1,0,0,NA,NA,NA
Patrick County,2024,1,0,0,1,0,0,NA,NA,NA
Patrick County,2045,1,0,0,1,0,0,NA,NA,NA
Petersburg City,2024,1,0,0,1,0,0,NA,NA,NA
Petersburg City,2045,1,0,0,1,0,0,NA,NA,NA
Pittsylvania County,2024,1,0,0,1,0,0,NA,NA,NA
Pittsylvania County,2045,1,0,0,1,0,0,NA,NA,NA
Poquoson City,2024,1,0,0,1,0,0,NA,NA,NA
Poquoson City,2045,1,0,0,1,0,0,NA,NA,NA
Portsmouth City,2024,1,0,0,1,0,0,NA,NA,NA
Portsmouth City,2045,1,0,0,1,0,0,NA,NA,NA
Powhatan County,2024,1,0,0,1,0,0,NA,NA,NA
Powhatan County,2045,1,0,0,1,0,0,NA,NA,NA
Prince Edward County,2024,1,0,0,1,0,0,NA,NA,NA
Prince Edward County,2045,1,0,0,1,0,0,NA,NA,NA
Prince George County,2024,1,0,0,1,0,0,NA,NA,NA
Prince George County,2045,1,0,0,1,0,0,NA,NA,NA
Prince William County,2024,1,0,0,1,0,0,NA,NA,NA
Prince William County,2045,1,0,0,1,0,0,NA,NA,NA
Pulaski County,2024,1,0,0,1,0,0,NA,NA,NA
Pulaski County,2045,1,0,0,1,0,0,NA,NA,NA
Radford City,2024,1,0,0,1,0,0,NA,NA,NA
Radford City,2045,1,0,0,1,0,0,NA,NA,NA
Rappahannock County,2024,1,0,0,1,0,0,NA,NA,NA
Rappahannock County,2045,1,0,0,1,0,0,NA,NA,NA
Richmond City,2024,1,0,0,1,0,0,NA,NA,NA
Richmond City,2045,1,0,0,1,0,0,NA,NA,NA
Richmond County,2024,1,0,0,1,0,0,NA,NA,NA
Richmond County,2045,1,0,0,1,0,0,NA,NA,NA
Roanoke City,2024,1,0,0,1,0,0,NA,NA,NA
Roanoke City,2045,1,0,0,1,0,0,NA,NA,NA
Roanoke County,2024,1,0,0,1,0,0,NA,NA,NA
Roanoke County,2045,1,0,0,1,0,0,NA,NA,NA
Rockbridge County,2024,1,0,0,1,0,0,NA,NA,NA
Rockbridge County,2045,1,0,0,1,0,0,NA,NA,NA
Rockingham County,2024,1,0,0,1,0,0,NA,NA,NA
Rockingham County,2045,1,0,0,1,0,0,NA,NA,NA
Russell County,2024,1,0,0,1,0,0,NA,NA,NA
Russell County,2045,1,0,0,1,0,0,NA,NA,NA
Salem City,2024,1,0,0,1,0,0,NA,NA,NA
Salem City,2045,1,0,0,1,0,0,NA,NA,NA
Scott County,2024,1,0,0,1,0,0,NA,NA,NA
Scott County,2045,1,0,0,1,0,0,NA,NA,NA
Shenandoah County,2024,1,0,0,1,0,0,NA,NA,NA
Shenandoah County,2045,1,0,0,1,0,0,NA,NA,NA
Smyth County,2024,1,0,0,1,0,0,NA,NA,NA
Smyth County,2045,1,0,0,1,0,0,NA,NA,NA
Southampton County,2024,1,0,0,1,0,0,NA,NA,NA
Southampton County,2045,1,0,0,1,0,0,NA,NA,NA
Spotsylvania County,2024,1,0,0,1,0,0,NA,NA,NA
Spotsylvania County,2045,1,0,0,1,0,0,NA,NA,NA
Stafford County,2024,1,0,0,1,0,0,NA,NA,NA
Stafford County,2045,1,0,0,1,0,0,NA,NA,NA
Staunton City,2024,1,0,0,1,0,0,NA,NA,NA
Staunton City,2045,1,0,0,1,0,0,NA,NA,NA
Suffolk City,2024,1,0,0,1,0,0,NA,NA,NA
Suffolk City,2045,1,0,0,1,0,0,NA,NA,NA
Surry County,2024,1,0,0,1,0,0,NA,NA,NA
Surry County,2045,1,0,0,1,0,0,NA,NA,NA
Sussex County,2024,1,0,0,1,0,0,NA,NA,NA
Sussex County,2045,1,0,0,1,0,0,NA,NA,NA
Tazewell County,2024,1,0,0,1,0,0,NA,NA,NA
Tazewell County,2045,1,0,0,1,0,0,NA,NA,NA
Virginia Beach City,2024,1,0,0,1,0,0,NA,NA,NA
Virginia Beach City,2045,1,0,0,1,0,0,NA,NA,NA
Warren County,2024,1,0,0,1,0,0,NA,NA,NA
Warren County,2045,1,0,0,1,0,0,NA,NA,NA
Washington County,2024,1,0,0,1,0,0,NA,NA,NA
Washington County,2045,1,0,0,1,0,0,NA,NA,NA
Waynesboro City,2024,1,0,0,1,0,0,NA,NA,NA
Waynesboro City,2045,1,0,0,1,0,0,NA,NA,NA
Westmoreland County,2024,1,0,0,1,0,0,NA,NA,NA
Westmoreland County,2045,1,0,0,1,0,0,NA,NA,NA
Williamsburg City,2024,1,0,0,1,0,0,NA,NA,NA
Williamsburg City,2045,1,0,0,1,0,0,NA,NA,NA
Winchester City,2024,1,0,0,1,0,0,NA,NA,NA
Winchester City,2045,1,0,0,1,0,0,NA,NA,NA
Wise County,2024,1,0,0,1,0,0,NA,NA,NA
Wise County,2045,1,0,0,1,0,0,NA,NA,NA
Wythe County,2024,1,0,0,1,0,0,NA,NA,NA
Wythe County,2045,1,0,0,1,0,0,NA,NA,NA
York County,2024,1,0,0,1,0,0,NA,NA,NA
York County,2045,1,0,0,1,0,0,NA,NA,NA
