Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Accomack County,2024,56325,0,484117,0,0,0,0,0
Albemarle County,2024,0,0,0,0,0,0,0,0
Alexandria City,2024,1286676,0,5033936,0,0,0,3558017,21138
Alleghany County,2024,0,0,0,0,0,0,0,0
Amelia County,2024,0,0,0,0,0,0,0,0
Amherst County,2024,0,0,0,0,0,0,0,0
Appomattox County,2024,0,0,0,0,0,0,0,0
Arlington County,2024,2061491,0,5372168,0,0,0,6399120,30926
Augusta County,2024,0,0,0,0,0,0,0,0
Bath County,2024,0,0,0,0,0,0,0,0
Bedford County,2024,0,0,0,0,0,0,0,0
Bland County,2024,0,0,0,0,0,0,0,0
Botetourt County,2024,0,0,0,0,0,0,0,0
Bristol City,2024,3930,0,130503,0,0,0,0,0
Brunswick County,2024,0,0,0,0,0,0,0,0
Buchanan County,2024,0,0,0,0,0,0,0,0
Buckingham County,2024,0,0,0,0,0,0,0,0
Buena Vista City,2024,0,0,0,0,0,0,0,0
Campbell County,2024,0,0,48483,0,0,0,0,0
Caroline County,2024,0,0,0,0,0,0,0,0
Carroll County,2024,0,0,0,0,0,0,0,0
Charles City County,2024,0,0,0,0,0,0,0,0
Charlotte County,2024,0,0,0,0,0,0,0,0
Charlottesville City,2024,1433278,0,1043793,0,0,0,0,0
Chesapeake City,2024,0,0,0,0,0,0,0,0
Chesterfield County,2024,0,0,0,0,0,0,0,0
Clarke County,2024,0,0,0,0,0,0,0,0
Colonial Heights City,2024,0,0,0,0,0,0,0,0
Covington City,2024,0,0,0,0,0,0,0,0
Craig County,2024,0,0,0,0,0,0,0,0
Culpeper County,2024,0,0,0,0,0,0,0,0
Cumberland County,2024,0,0,0,0,0,0,0,0
Danville City,2024,248940,0,268809,0,0,0,0,0
Dickenson County,2024,0,0,0,0,0,0,0,0
Dinwiddie County,2024,0,0,0,0,0,0,0,0
Emporia City,2024,0,0,57550,0,0,0,0,0
Essex County,2024,0,0,0,0,0,0,0,0
Fairfax City,2024,48609,0,12178624,0,0,0,185867,0
Fairfax County,2024,2979047,0,5971755,0,0,0,11390965,811400
Falls Church City,2024,55553,0,111361,0,0,0,212419,0
Fauquier County,2024,0,0,0,0,0,0,0,0
Floyd County,2024,0,0,0,0,0,0,0,0
Fluvanna County,2024,0,0,0,0,0,0,0,0
Franklin City,2024,0,0,0,0,0,0,0,0
Franklin County,2024,0,0,0,0,0,0,0,0
Frederick County,2024,0,0,0,0,0,0,0,0
Fredericksburg City,2024,0,0,519955,0,0,0,0,84063
Galax City,2024,0,0,0,0,0,0,0,0
Giles County,2024,0,0,0,0,0,0,0,0
Gloucester County,2024,0,0,0,0,0,0,0,0
Goochland County,2024,0,0,0,0,0,0,0,0
Grayson County,2024,0,0,0,0,0,0,0,0
Greene County,2024,0,0,0,0,0,0,0,0
Greensville County,2024,0,0,0,0,0,0,0,0
Halifax County,2024,0,0,0,0,0,0,0,0
Hampton City,2024,4069346,284865,9499330,0,0,305731,0,0
Hanover County,2024,0,0,0,0,0,0,0,0
Harrisonburg City,2024,217057,0,507825,0,0,0,0,0
Henrico County,2024,0,0,0,0,0,0,0,0
Henry County,2024,0,0,0,0,0,0,0,0
Highland County,2024,0,0,0,0,0,0,0,0
Hopewell City,2024,0,0,0,0,0,0,0,0
Isle of Wight County,2024,0,0,0,0,0,0,0,0
James City County,2024,0,0,0,0,0,0,0,0
King and Queen County,2024,0,0,0,0,0,0,0,0
King George County,2024,0,0,0,0,0,0,0,0
King William County,2024,0,0,0,0,0,0,0,0
Lancaster County,2024,0,0,0,0,0,0,0,0
Lee County,2024,0,0,0,0,0,0,0,0
Lexington City,2024,0,0,0,0,0,0,0,0
Loudoun County,2024,395817,0,793450,0,0,0,1513485,0
Louisa County,2024,0,0,0,0,0,0,0,0
Lunenburg County,2024,0,0,0,0,0,0,0,0
Lynchburg City,2024,136452,0,1056624,0,0,0,0,0
Madison County,2024,0,0,0,0,0,0,0,0
Manassas City,2024,0,0,0,0,0,0,0,106910
Manassas Park City,2024,0,0,0,0,0,0,0,73014
Martinsville City,2024,0,0,0,0,0,0,0,0
Mathews County,2024,0,0,0,0,0,0,0,0
Mecklenburg County,2024,67993,0,0,0,0,0,0,0
Middlesex County,2024,1365430,0,34950,0,0,0,0,0
Montgomery County,2024,152257,0,768305,0,0,0,0,0
Nelson County,2024,0,0,0,0,0,0,0,0
New Kent County,2024,0,0,0,0,0,0,0,0
Newport News City,2024,0,0,0,0,0,0,0,0
Norfolk City,2024,0,0,0,0,0,0,0,0
Northampton County,2024,0,0,0,0,0,0,0,0
Northumberland County,2024,0,0,0,0,0,0,0,0
Norton City,2024,0,0,0,0,0,0,0,0
Nottoway County,2024,0,0,422294,0,0,0,0,0
Orange County,2024,0,0,0,0,0,0,0,0
Page County,2024,0,0,0,0,0,0,0,0
Patrick County,2024,0,0,0,0,0,0,0,0
Petersburg City,2024,66374,0,490333,0,0,0,0,0
Pittsylvania County,2024,0,0,0,0,0,0,0,0
Poquoson City,2024,0,0,0,0,0,0,0,0
Portsmouth City,2024,0,0,0,0,0,0,0,0
Powhatan County,2024,0,0,0,0,0,0,0,0
Prince Edward County,2024,21201,0,141874,0,0,0,0,0
Prince George County,2024,0,0,0,0,0,0,0,0
Prince William County,2024,66138,6823270,3070043,0,0,0,0,798289
Pulaski County,2024,0,0,0,0,0,0,0,0
Radford City,2024,9995,0,651557,0,0,0,0,0
Rappahannock County,2024,0,0,0,0,0,0,0,0
Richmond City,2024,1978729,1816367,4160251,354774,0,0,0,0
Richmond County,2024,0,0,0,0,0,0,0,0
Roanoke City,2024,735339,0,1995497,0,0,0,0,0
Roanoke County,2024,0,0,0,0,0,0,0,0
Rockbridge County,2024,0,0,0,0,0,0,0,0
Rockingham County,2024,0,0,0,0,0,0,0,0
Russell County,2024,0,0,0,0,0,0,0,0
Salem City,2024,0,0,0,0,0,0,0,0
Scott County,2024,0,0,0,0,0,0,0,0
Shenandoah County,2024,0,0,0,0,0,0,0,0
Smyth County,2024,252645,0,208256,0,0,0,0,0
Southampton County,2024,0,0,0,0,0,0,0,0
Spotsylvania County,2024,0,0,0,0,0,0,0,293958
Stafford County,2024,0,0,0,0,0,0,0,373904
Staunton City,2024,53020,0,766150,0,0,0,0,0
Suffolk City,2024,26384,0,417756,0,0,0,0,0
Surry County,2024,0,0,0,0,0,0,0,0
Sussex County,2024,0,0,0,0,0,0,0,0
Tazewell County,2024,0,0,0,0,0,0,0,0
Virginia Beach City,2024,0,0,0,0,0,0,0,0
Warren County,2024,0,0,0,0,0,0,0,0
Washington County,2024,0,0,0,0,0,0,0,0
Waynesboro City,2024,0,0,0,0,0,0,0,0
Westmoreland County,2024,0,0,0,0,0,0,0,0
Williamsburg City,2024,167936,0,883556,0,0,0,0,0
Winchester City,2024,74065,0,187190,0,0,0,0,0
Wise County,2024,965864,0,0,0,0,0,0,0
Wythe County,2024,0,0,0,0,0,0,0,0
York County,2024,0,0,22718,0,0,0,0,0
Accomack County,2045,56325,0,484117,0,0,0,0,0
Albemarle County,2045,0,0,0,0,0,0,0,0
Alexandria City,2045,1286676,0,5033936,0,0,0,3558017,21138
Alleghany County,2045,0,0,0,0,0,0,0,0
Amelia County,2045,0,0,0,0,0,0,0,0
Amherst County,2045,0,0,0,0,0,0,0,0
Appomattox County,2045,0,0,0,0,0,0,0,0
Arlington County,2045,2061491,0,5372168,0,0,0,6399120,30926
Augusta County,2045,0,0,0,0,0,0,0,0
Bath County,2045,0,0,0,0,0,0,0,0
Bedford County,2045,0,0,0,0,0,0,0,0
Bland County,2045,0,0,0,0,0,0,0,0
Botetourt County,2045,0,0,0,0,0,0,0,0
Bristol City,2045,3930,0,130503,0,0,0,0,0
Brunswick County,2045,0,0,0,0,0,0,0,0
Buchanan County,2045,0,0,0,0,0,0,0,0
Buckingham County,2045,0,0,0,0,0,0,0,0
Buena Vista City,2045,0,0,0,0,0,0,0,0
Campbell County,2045,0,0,48483,0,0,0,0,0
Caroline County,2045,0,0,0,0,0,0,0,0
Carroll County,2045,0,0,0,0,0,0,0,0
Charles City County,2045,0,0,0,0,0,0,0,0
Charlotte County,2045,0,0,0,0,0,0,0,0
Charlottesville City,2045,1433278,0,1043793,0,0,0,0,0
Chesapeake City,2045,0,0,0,0,0,0,0,0
Chesterfield County,2045,0,0,0,0,0,0,0,0
Clarke County,2045,0,0,0,0,0,0,0,0
Colonial Heights City,2045,0,0,0,0,0,0,0,0
Covington City,2045,0,0,0,0,0,0,0,0
Craig County,2045,0,0,0,0,0,0,0,0
Culpeper County,2045,0,0,0,0,0,0,0,0
Cumberland County,2045,0,0,0,0,0,0,0,0
Danville City,2045,248940,0,268809,0,0,0,0,0
Dickenson County,2045,0,0,0,0,0,0,0,0
Dinwiddie County,2045,0,0,0,0,0,0,0,0
Emporia City,2045,0,0,57550,0,0,0,0,0
Essex County,2045,0,0,0,0,0,0,0,0
Fairfax City,2045,48609,0,12178624,0,0,0,185867,0
Fairfax County,2045,2979047,0,5971755,0,0,0,11390965,811400
Falls Church City,2045,55553,0,111361,0,0,0,212419,0
Fauquier County,2045,0,0,0,0,0,0,0,0
Floyd County,2045,0,0,0,0,0,0,0,0
Fluvanna County,2045,0,0,0,0,0,0,0,0
Franklin City,2045,0,0,0,0,0,0,0,0
Franklin County,2045,0,0,0,0,0,0,0,0
Frederick County,2045,0,0,0,0,0,0,0,0
Fredericksburg City,2045,0,0,519955,0,0,0,0,84063
Galax City,2045,0,0,0,0,0,0,0,0
Giles County,2045,0,0,0,0,0,0,0,0
Gloucester County,2045,0,0,0,0,0,0,0,0
Goochland County,2045,0,0,0,0,0,0,0,0
Grayson County,2045,0,0,0,0,0,0,0,0
Greene County,2045,0,0,0,0,0,0,0,0
Greensville County,2045,0,0,0,0,0,0,0,0
Halifax County,2045,0,0,0,0,0,0,0,0
Hampton City,2045,4069346,284865,9499330,0,0,305731,0,0
Hanover County,2045,0,0,0,0,0,0,0,0
Harrisonburg City,2045,217057,0,507825,0,0,0,0,0
Henrico County,2045,0,0,0,0,0,0,0,0
Henry County,2045,0,0,0,0,0,0,0,0
Highland County,2045,0,0,0,0,0,0,0,0
Hopewell City,2045,0,0,0,0,0,0,0,0
Isle of Wight County,2045,0,0,0,0,0,0,0,0
James City County,2045,0,0,0,0,0,0,0,0
King and Queen County,2045,0,0,0,0,0,0,0,0
King George County,2045,0,0,0,0,0,0,0,0
King William County,2045,0,0,0,0,0,0,0,0
Lancaster County,2045,0,0,0,0,0,0,0,0
Lee County,2045,0,0,0,0,0,0,0,0
Lexington City,2045,0,0,0,0,0,0,0,0
Loudoun County,2045,395817,0,793450,0,0,0,1513485,0
Louisa County,2045,0,0,0,0,0,0,0,0
Lunenburg County,2045,0,0,0,0,0,0,0,0
Lynchburg City,2045,136452,0,1056624,0,0,0,0,0
Madison County,2045,0,0,0,0,0,0,0,0
Manassas City,2045,0,0,0,0,0,0,0,106910
Manassas Park City,2045,0,0,0,0,0,0,0,73014
Martinsville City,2045,0,0,0,0,0,0,0,0
Mathews County,2045,0,0,0,0,0,0,0,0
Mecklenburg County,2045,67993,0,0,0,0,0,0,0
Middlesex County,2045,1365430,0,34950,0,0,0,0,0
Montgomery County,2045,152257,0,768305,0,0,0,0,0
Nelson County,2045,0,0,0,0,0,0,0,0
New Kent County,2045,0,0,0,0,0,0,0,0
Newport News City,2045,0,0,0,0,0,0,0,0
Norfolk City,2045,0,0,0,0,0,0,0,0
Northampton County,2045,0,0,0,0,0,0,0,0
Northumberland County,2045,0,0,0,0,0,0,0,0
Norton City,2045,0,0,0,0,0,0,0,0
Nottoway County,2045,0,0,422294,0,0,0,0,0
Orange County,2045,0,0,0,0,0,0,0,0
Page County,2045,0,0,0,0,0,0,0,0
Patrick County,2045,0,0,0,0,0,0,0,0
Petersburg City,2045,66374,0,490333,0,0,0,0,0
Pittsylvania County,2045,0,0,0,0,0,0,0,0
Poquoson City,2045,0,0,0,0,0,0,0,0
Portsmouth City,2045,0,0,0,0,0,0,0,0
Powhatan County,2045,0,0,0,0,0,0,0,0
Prince Edward County,2045,21201,0,141874,0,0,0,0,0
Prince George County,2045,0,0,0,0,0,0,0,0
Prince William County,2045,66138,6823270,3070043,0,0,0,0,798289
Pulaski County,2045,0,0,0,0,0,0,0,0
Radford City,2045,9995,0,651557,0,0,0,0,0
Rappahannock County,2045,0,0,0,0,0,0,0,0
Richmond City,2045,1978729,1816367,4160251,354774,0,0,0,0
Richmond County,2045,0,0,0,0,0,0,0,0
Roanoke City,2045,735339,0,1995497,0,0,0,0,0
Roanoke County,2045,0,0,0,0,0,0,0,0
Rockbridge County,2045,0,0,0,0,0,0,0,0
Rockingham County,2045,0,0,0,0,0,0,0,0
Russell County,2045,0,0,0,0,0,0,0,0
Salem City,2045,0,0,0,0,0,0,0,0
Scott County,2045,0,0,0,0,0,0,0,0
Shenandoah County,2045,0,0,0,0,0,0,0,0
Smyth County,2045,252645,0,208256,0,0,0,0,0
Southampton County,2045,0,0,0,0,0,0,0,0
Spotsylvania County,2045,0,0,0,0,0,0,0,293958
Stafford County,2045,0,0,0,0,0,0,0,373904
Staunton City,2045,53020,0,766150,0,0,0,0,0
Suffolk City,2045,26384,0,417756,0,0,0,0,0
Surry County,2045,0,0,0,0,0,0,0,0
Sussex County,2045,0,0,0,0,0,0,0,0
Tazewell County,2045,0,0,0,0,0,0,0,0
Virginia Beach City,2045,0,0,0,0,0,0,0,0
Warren County,2045,0,0,0,0,0,0,0,0
Washington County,2045,0,0,0,0,0,0,0,0
Waynesboro City,2045,0,0,0,0,0,0,0,0
Westmoreland County,2045,0,0,0,0,0,0,0,0
Williamsburg City,2045,167936,0,883556,0,0,0,0,0
Winchester City,2045,74065,0,187190,0,0,0,0,0
Wise County,2045,965864,0,0,0,0,0,0,0
Wythe County,2045,0,0,0,0,0,0,0,0
York County,2045,0,0,22718,0,0,0,0,0
